epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,3.631390710671743,3.631390710671743,0.0,0.0,2.8955591765955053,0.28236576723902973,0.2523962909832698
2,2.496728777885437,2.496728777885437,0.0,0.0,2.1794732272641215,0.5955301171981466,0.5712667637879616
3,1.7587080995241802,1.7587080995241802,0.0,0.0,1.6916847049004051,0.7089125102207686,0.6964728515238587
4,1.2603081911802292,1.2603081911802292,0.0,0.0,1.3786521028777046,0.7620605069501226,0.7498680029495014
5,1.2158966809511185,1.007824535171191,0.1040360697855552,0.036458333333333336,1.330988852488439,0.6524938675388389,0.6669301295864241
6,1.8422971963882446,0.9697952568531036,0.4362509713197748,0.09114583333333333,1.331509957459097,0.6094303624965931,0.6295732998838957
7,1.2494686792294185,0.7484742552042007,0.25049721263349056,0.11458333333333333,1.0713922089632346,0.7266285091305533,0.7282700312125956
8,1.2966272681951523,0.6253389120101929,0.3356441830595334,0.1640625,1.2126965938975163,0.601253747615154,0.6144526340223796
9,1.1611378739277523,0.7064808458089828,0.22732850971321264,0.20052083333333334,0.9358244569417273,0.7288089397656037,0.7350177918454003
10,0.9978706687688828,0.42426109313964844,0.286804785951972,0.22916666666666666,0.9306280484525083,0.7320795857181793,0.7235375127660983
